,Tweet Content,tokens,clean_tweet,sentiment,sentiment_class,label,polarity,subjectivity
10,"""@LateoReg @boucherhayes Global warming is a small (1-6 C), sustained change in average global temperature, that leads to Climate Change. Changes include extreme weather events, such as rain storms in Ireland and heatwaves in southern Europe. Severe typhoons and hurricanes in other parts of the world.""","['global', 'warming', 'small', 'sustained', 'change', 'average', 'global', 'temperature', 'lead', 'climate', 'change', 'change', 'include', 'extreme', 'weather', 'event', 'rain', 'storm', 'ireland', 'heatwaves', 'southern', 'europe', 'severe', 'typhoon', 'hurricane', 'part', 'world']",global warming small sustained change average global temperature lead climate change change include extreme weather event rain storm ireland heatwaves southern europe severe typhoon hurricane part world,-0.25,negative,0,-0.08750000000000001,0.3
11,"""Today is the launch of the #StateOfNature report

Our wildlife is in decline and it’s clear that changes in the way we manage our land for agriculture &amp; the ongoing effects of climate change are having the biggest impacts🚜 

Find out more at https://t.co/2BkUrfR4Qq https://t.co/SVwzAY2jh0""","['today', 'launch', 'report', 'wildlife', 'decline', 'clear', 'change', 'way', 'manage', 'land', 'agriculture', 'ongoing', 'effect', 'climate', 'change', 'biggest', 'impact', 'find']",today launch report wildlife decline clear change way manage land agriculture ongoing effect climate change biggest impact find,0.3818,positive,1,0.10000000000000002,0.3833333333333333
12,"""@RepSwalwell Just tell your fellow members of Congress vote for his policy changes or it will be YOUR fault.  Eliminate DIE, climate, initiatives, and billions to Ukraine. Start drilling for our own oil again. We are being invaded.  And there are serious consequences for wreckless debt.""","['tell', 'fellow', 'member', 'congress', 'vote', 'policy', 'change', 'fault', 'eliminate', 'die', 'climate', 'initiative', 'billion', 'ukraine', 'start', 'drilling', 'oil', 'invaded', 'serious', 'consequence', 'wreckless', 'debt']",tell fellow member congress vote policy change fault eliminate die climate initiative billion ukraine start drilling oil invaded serious consequence wreckless debt,-0.8555,negative,0,-0.3333333333333333,0.6666666666666666
13,"""@GrantMa24544383 @rachelrwithers Megafauna became extinct around 50,000 years ago. The role of humans in that extinction event is contested &amp; changes in climate certainly played a part. Following that turbulent period the extinction rate in Australia was close to normal backround pre-human levels.""","['megafauna', 'became', 'extinct', 'around', '000', 'year', 'ago', 'role', 'human', 'extinction', 'event', 'contested', 'change', 'climate', 'certainly', 'played', 'part', 'following', 'turbulent', 'period', 'extinction', 'rate', 'australia', 'close', 'normal', 'backround', 'pre', 'human', 'level']",megafauna became extinct around 000 year ago role human extinction event contested change climate certainly played part following turbulent period extinction rate australia close normal backround pre human level,0.5859,positive,1,-0.005952380952380959,0.3535714285714286
14,"""@SartorialThug Climate changes. There is no crisis""","['climate', 'change', 'crisis']",climate change crisis,-0.6249,negative,0,0.0,0.0
15,"""@AparryW The phrase climate change is in and of itself ridiculous 

The climate by nature changes and frankly we are only scratching the surface as with most things like the brain our oceans and space""","['phrase', 'climate', 'change', 'ridiculous', 'climate', 'nature', 'change', 'frankly', 'scratching', 'surface', 'thing', 'like', 'brain', 'ocean', 'space']",phrase climate change ridiculous climate nature change frankly scratching surface thing like brain ocean space,0.0,neutral,2,-0.3333333333333333,1.0
16,"""@ahawksbee Looking at the table, Tory voters like broad policy statements that address climate concerns (don't we all?) but don't like public subsidies or tax changes that might affect their lifestyles financially, directly or indirectly.""","['looking', 'table', 'tory', 'voter', 'like', 'broad', 'policy', 'statement', 'address', 'climate', 'concern', 'like', 'public', 'subsidy', 'tax', 'change', 'might', 'affect', 'lifestyle', 'financially', 'directly', 'indirectly']",looking table tory voter like broad policy statement address climate concern like public subsidy tax change might affect lifestyle financially directly indirectly,0.6124,positive,1,0.05416666666666667,0.25972222222222224
17,"""There is ongoing work to mainstream climate security in NATO but what does this mean in practice? What are the ways to create more permanent changes and create long-term institutional memory and effective on the ground practices?""","['ongoing', 'work', 'mainstream', 'climate', 'security', 'nato', 'doe', 'mean', 'practice', 'way', 'create', 'permanent', 'change', 'create', 'long', 'term', 'institutional', 'memory', 'effective', 'ground', 'practice']",ongoing work mainstream climate security nato doe mean practice way create permanent change create long term institutional memory effective ground practice,0.8271,positive,1,0.07916666666666666,0.6291666666666667
18,"""See the rest of the summary here: https://t.co/MxHuM0zllU""","['see', 'rest', 'summary']",see rest summary,0.0,neutral,2,0.0,0.0
19,"""@GreyBearLtd @Jim_Cornelius @GhostGone420 Where has the climate changed like that so quickly by magic my guy?

Yeah the climate changes, not like this Most of the changes you’re referring to are from milankovich cycles. We are in a cooling phase of that

So unless you can give me proof of something else Imma go with This https://t.co/3PyAeibJkb""","['ha', 'climate', 'changed', 'like', 'quickly', 'magic', 'guy', 'yeah', 'climate', 'change', 'like', 'change', 'you’', 'referring', 'milankovich', 'cycle', 'cooling', 'phase', 'unless', 'give', 'proof', 'something', 'else', 'imma']",ha climate changed like quickly magic guy yeah climate change like change you’ referring milankovich cycle cooling phase unless give proof something else imma,0.8225,positive,1,0.5,1.0
20,"""Last week, @amywestervelt joined @CoveringClimate's Climate Changes Everything conference to talk about self accountability in fossil fuel advertising, and why accepting revenue from the fossil fuel sector is more damaging than the dollars are worth.  @CJR
https://t.co/AHvArIiM8g""","['last', 'week', 'joined', 'climate', 'change', 'everything', 'conference', 'talk', 'self', 'accountability', 'fossil', 'fuel', 'advertising', 'accepting', 'revenue', 'fossil', 'fuel', 'sector', 'damaging', 'dollar', 'worth']",last week joined climate change everything conference talk self accountability fossil fuel advertising accepting revenue fossil fuel sector damaging dollar worth,0.0516,neutral,2,0.15,0.08333333333333334
21,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
22,"""@MikeHudema @bcndp @AncientForestBC So sad. Thanks @MikeHudema for your positive attitude. It helps me to keep confidence into huge changes we need. #ClimateActionNow""","['sad', 'thanks', 'positive', 'attitude', 'help', 'keep', 'confidence', 'huge', 'change', 'need']",sad thanks positive attitude help keep confidence huge change need,0.8934,positive,1,0.08181818181818185,0.6613636363636364
23,"""@jsphfstr89 If the climate was this unstable then a ""tipping point"" would have happened already and there is no evidence that I've seen for this.""","['climate', 'unstable', 'tipping', 'point', 'would', 'happened', 'already', 'evidence', 'seen']",climate unstable tipping point would happened already evidence seen,-0.3612,negative,0,0.0,0.0
24,"""@freep The climate changes. Are we responsible? You know what, maybe we are. All those nuclear bombs we keep testing for one thing. Fukushima is an ongoing nuclear meltdown spewing radiation. I watched the plastic island grow exponentially while transiting the NPOA 6 times over 21 years""","['climate', 'change', 'responsible', 'know', 'maybe', 'nuclear', 'bomb', 'keep', 'testing', 'one', 'thing', 'fukushima', 'ongoing', 'nuclear', 'meltdown', 'spewing', 'radiation', 'watched', 'plastic', 'island', 'grow', 'exponentially', 'transiting', 'npoa', 'time', 'year']",climate change responsible know maybe nuclear bomb keep testing one thing fukushima ongoing nuclear meltdown spewing radiation watched plastic island grow exponentially transiting npoa time year,-0.2263,negative,0,0.2,0.55
25,"""@GreyBearLtd @Jim_Cornelius @GhostGone420 I don’t think you seem to understand that the lack of ice isn’t the issue it’s how quickly and why it has disappeared""","['don’', 'think', 'seem', 'understand', 'lack', 'ice', 'isn’', 'issue', 'quickly', 'ha', 'disappeared']",don’ think seem understand lack ice isn’ issue quickly ha disappeared,-0.2023,negative,0,0.3333333333333333,0.5
26,"""@GreyBearLtd @Jim_Cornelius @GhostGone420 At least Roman times. As in 2000 years ago. That’s 2000 years of ice gone in 10 years. It was also only likely visible then for local climate changes not global ones. 

Meanwhile here’s the global average temperatures in the last 2000 years https://t.co/8qZx84jYfV""","['least', 'roman', 'time', '2000', 'year', 'ago', 'that’', '2000', 'year', 'ice', 'gone', 'year', 'also', 'likely', 'visible', 'local', 'climate', 'change', 'global', 'one', 'meanwhile', 'here’', 'global', 'average', 'temperature', 'last', '2000', 'year']",least roman time 2000 year ago that’ 2000 year ice gone year also likely visible local climate change global one meanwhile here’ global average temperature last 2000 year,0.0,neutral,2,-0.06428571428571428,0.26666666666666666
27,"""In a feature article for @nationalpost I take an in-depth look at climate science and solutions, arguing that while humans are causing drastic changes to the Earth’s climate, it doesn’t mean we should upend our lives and stop emitting carbon altogether. https://t.co/Cas02ldDtY""","['feature', 'article', 'take', 'depth', 'look', 'climate', 'science', 'solution', 'arguing', 'human', 'causing', 'drastic', 'change', 'earth’', 'climate', 'doesn’', 'mean', 'upend', 'life', 'stop', 'emitting', 'carbon', 'altogether']",feature article take depth look climate science solution arguing human causing drastic change earth’ climate doesn’ mean upend life stop emitting carbon altogether,-0.4404,negative,0,-0.15625,0.39375
28,"""New PhD position available at the Professorship of Forest Ecology @ForEco_ETH at ETH Zurich, Switzerland to study tree species' drought resilience in the face of climate changes.   

Follow the link: https://t.co/UqWUeseVLm
 #Forests4Climate #Treerings #Climate #ClimateChange https://t.co/Nqtv4B5CGW""","['new', 'phd', 'position', 'available', 'professorship', 'forest', 'ecology', 'eth', 'zurich', 'switzerland', 'study', 'tree', 'specie', 'drought', 'resilience', 'face', 'climate', 'change', 'follow', 'link']",new phd position available professorship forest ecology eth zurich switzerland study tree specie drought resilience face climate change follow link,0.0,neutral,2,0.2681818181818182,0.42727272727272725
29,"""@ChrisLawSNP Bullshit there is no climate crisis . The climate always changes . You either adapt or disappear .""","['bullshit', 'climate', 'crisis', 'climate', 'always', 'change', 'either', 'adapt', 'disappear']",bullshit climate crisis climate always change either adapt disappear,-0.8689,negative,0,0.0,0.0
30,"""“The government is developing a “French-style ecology” (sic!), productivist, without major changes...

We want an ecological transformation by and for workers that meets current climate challenges!

https://t.co/ZJipI9xBMA…” https://t.co/1O3xY0gbGz""","['“the', 'government', 'developing', '“french', 'style', 'ecology”', 'sic', 'productivist', 'without', 'major', 'change', 'want', 'ecological', 'transformation', 'worker', 'meet', 'current', 'climate', 'challenge']",“the government developing “french style ecology” sic productivist without major change want ecological transformation worker meet current climate challenge,0.0201,neutral,2,0.115625,0.375
31,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
32,"""@MargaretHenzig I imagine there were some horse &amp; buggy owners that felt the same way.""","['imagine', 'horse', 'buggy', 'owner', 'felt', 'way']",imagine horse buggy owner felt way,0.0,neutral,2,0.0,0.0
33,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
34,"""Agriculture sector is responsible for 1/3rd of global GHG emissions &amp; major driver of biodiversity loss. Urgent changes in the food systems are needed.

Read the @UKHealthClimate policy report on biodiversity, climate change &amp; health https://t.co/kGh0HTNh8M

#UKHACCBiodiversity https://t.co/7AqQmnFcSu""","['agriculture', 'sector', 'responsible', '3rd', 'global', 'ghg', 'emission', 'major', 'driver', 'biodiversity', 'loss', 'urgent', 'change', 'food', 'system', 'needed', 'read', 'policy', 'report', 'biodiversity', 'climate', 'change', 'health']",agriculture sector responsible 3rd global ghg emission major driver biodiversity loss urgent change food system needed read policy report biodiversity climate change health,0.2023,positive,1,0.065625,0.2625
36,"""@ShakespeareAnna and Cllr @oliver_moran  open the #Pobal30 Cork event this morning, both charted the origins of Pobal, its Cork linkages and changes in programme focus on climate action and justice @pobal https://t.co/19F76DGUdt""","['cllr', 'open', 'cork', 'event', 'morning', 'charted', 'origin', 'pobal', 'cork', 'linkage', 'change', 'programme', 'focus', 'climate', 'action', 'justice']",cllr open cork event morning charted origin pobal cork linkage change programme focus climate action justice,0.5267,positive,1,0.05,0.3
37,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
38,"""BEYOND LOYOLA: As the nation braves unceasing changes to its climate, the future of the Philippine fishing industry is put at stake.

https://t.co/sdtm5FlJfc https://t.co/wXzJqKn66C""","['beyond', 'loyola', 'nation', 'brave', 'unceasing', 'change', 'climate', 'future', 'philippine', 'fishing', 'industry', 'put', 'stake']",beyond loyola nation brave unceasing change climate future philippine fishing industry put stake,0.5267,positive,1,0.4,0.5625
39,"""@WeatherProf Could be, but his theory would need repeating samples of storms to compare to determine trend or not. Other recent major Gulf hurricanes, Idalia had 8-11 &amp; Michael 9-13. The variables of air masses, storm size and forward speed have significant influence to rain accumulation.""","['could', 'theory', 'would', 'need', 'repeating', 'sample', 'storm', 'compare', 'determine', 'trend', 'recent', 'major', 'gulf', 'hurricane', 'idalia', 'michael', 'variable', 'air', 'mass', 'storm', 'size', 'forward', 'speed', 'significant', 'influence', 'rain', 'accumulation']",could theory would need repeating sample storm compare determine trend recent major gulf hurricane idalia michael variable air mass storm size forward speed significant influence rain accumulation,0.2023,positive,1,0.14583333333333334,0.5416666666666666
40,"""While atmospheric CO2 ppm have increased 50% since the Industrial Revolution. It seems dubious and scientifically problematic (at best) to link such small values to such drastic changes in the planets climate. 

Discuss..""","['atmospheric', 'co2', 'ppm', 'increased', 'since', 'industrial', 'revolution', 'seems', 'dubious', 'scientifically', 'problematic', 'best', 'link', 'small', 'value', 'drastic', 'change', 'planet', 'climate', 'discus']",atmospheric co2 ppm increased since industrial revolution seems dubious scientifically problematic best link small value drastic change planet climate discus,0.5106,positive,1,0.25,0.2333333333333333
41,"""As I understand, Scientific findings are about the best that humans can understand.

What's 'true', ""scientifically"", at some time, might not be so at another time.

I recall a statement that I read back in college in a textbook on Scientific Methods. It said ‘There are no…""","['understand', 'scientific', 'finding', 'best', 'human', 'understand', 'true', 'scientifically', 'time', 'might', 'another', 'time', 'recall', 'statement', 'read', 'back', 'college', 'textbook', 'scientific', 'method', 'said', '‘there', '…']",understand scientific finding best human understand true scientifically time might another time recall statement read back college textbook scientific method said ‘there …,0.7906,positive,1,0.3375,0.2625
42,"""@WeatherProf Not only does it pour harder in a warming world, it pours microplastics, too!

https://t.co/7kYc4q56Ez""","['doe', 'pour', 'harder', 'warming', 'world', 'pours', 'microplastics']",doe pour harder warming world pours microplastics,0.1531,positive,2,-0.1,0.0
43,"""@BSF42069 @Jim_Cornelius @GhostGone420 The biggest issues are drought and floods. 

So 200 yrs ago how many homes had running water? How many gallons of water were trapped in plastic bottles? How much hard surfacing was there that’s not permeable?""","['biggest', 'issue', 'drought', 'flood', '200', 'yr', 'ago', 'many', 'home', 'running', 'water', 'many', 'gallon', 'water', 'trapped', 'plastic', 'bottle', 'much', 'hard', 'surfacing', 'that’', 'permeable']",biggest issue drought flood 200 yr ago many home running water many gallon water trapped plastic bottle much hard surfacing that’ permeable,-0.5859,negative,0,0.12708333333333333,0.38541666666666663
44,"""@LeslynLewis @SGirardau Not adhering to the WHO is the priority at this time…we will continue to work on climate change for the next one hundred years…meanwhile it’s called multi-tasking to stop an unelected body from its attempt to rule our lives""","['adhering', 'priority', 'time…', 'continue', 'work', 'climate', 'change', 'next', 'one', 'hundred', 'years…meanwhile', 'called', 'multi', 'tasking', 'stop', 'unelected', 'body', 'attempt', 'rule', 'life']",adhering priority time… continue work climate change next one hundred years…meanwhile called multi tasking stop unelected body attempt rule life,-0.296,negative,0,0.0,0.0
45,"""We don't deny that the climate changes naturally but we do deny that humans have any negative impact on the climate. There is no climate emergency. #JeremyVine https://t.co/bhNVdwjhyI""","['deny', 'climate', 'change', 'naturally', 'deny', 'human', 'negative', 'impact', 'climate', 'climate', 'emergency']",deny climate change naturally deny human negative impact climate climate emergency,-0.8779,negative,0,-0.06666666666666667,0.3
46,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
47,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
48,"""@CTVNews So 🤡TV...

Please tell us how tectonic plates shifting is caused by co2.

Also, please tell us how plate shifting and corresponding weather changes wouldn't indicate that co2 ""Climate Change"" is a load of horse 💩.

So...
Next.Up.Earthquakes 🥳🙄""","['please', 'tell', 'tectonic', 'plate', 'shifting', 'caused', 'co2', 'also', 'please', 'tell', 'plate', 'shifting', 'corresponding', 'weather', 'change', 'indicate', 'co2', 'climate', 'change', 'load', 'horse', 'next', 'earthquake']",please tell tectonic plate shifting caused co2 also please tell plate shifting corresponding weather change indicate co2 climate change load horse next earthquake,0.5574,positive,1,0.0,0.0
49,"""#HurricaneIan 20”+ of rain in 6 hours was made ~20% wetter by climate warming. I interviewed study author Dr Michael Wehner about this &amp; another study showing changes in steering &amp;  lowering shear increasing the risk for Gulf Coast Hurricanes. Watch here: https://t.co/E2MCXBpCxo https://t.co/LdGhwEqFWp""","['rain', 'made', 'wetter', 'climate', 'warming', 'interviewed', 'study', 'author', 'michael', 'wehner', 'another', 'study', 'showing', 'change', 'steering', 'lowering', 'shear', 'increasing', 'risk', 'gulf', 'coast', 'hurricane', 'watch']",rain made wetter climate warming interviewed study author michael wehner another study showing change steering lowering shear increasing risk gulf coast hurricane watch,-0.3612,negative,0,0.0,0.0
50,"""🌎İklim eylemi projemizin ilk haftası tamamlandı. Okulumuz öğrencilerine, Su Elçileri kulüp öğrencileri tarafından iklim değişikliğinin olumsuz etkileri anlatıldı. Su ayak izi hesaplatılarak,su tasarrufu vurgulandı. @Devrek_mem @MeseSonay24795 @suelcileri https://t.co/DJK4amRJkv""","['̇klim', 'eylemi', 'projemizin', 'ilk', 'haftası', 'tamamlandı', 'okulumuz', 'öğrencilerine', 'elçileri', 'kulüp', 'öğrencileri', 'tarafından', 'iklim', 'değişikliğinin', 'olumsuz', 'etkileri', 'anlatıldı', 'ayak', 'izi', 'hesaplatılarak', 'tasarrufu', 'vurgulandı']",̇klim eylemi projemizin ilk haftası tamamlandı okulumuz öğrencilerine elçileri kulüp öğrencileri tarafından iklim değişikliğinin olumsuz etkileri anlatıldı ayak izi hesaplatılarak tasarrufu vurgulandı,0.0,neutral,2,0.0,0.0
51,"""@Deckers_D @CecileJans58794 @Climate_Earth20 @marcelcrok I believe the scientists, just not the shills you seem to follow.

Anthropogenic that 👍🏻""","['believe', 'scientist', 'shill', 'seem', 'follow', 'anthropogenic']",believe scientist shill seem follow anthropogenic,0.0,neutral,2,0.0,0.0
52,"""@AaronBastani Climate changes constantly""","['climate', 'change', 'constantly']",climate change constantly,0.0,neutral,2,0.0,0.3333333333333333
53,"""When it rains, it pours. But it pours harder in a warming world! https://t.co/cERVDuqhdf https://t.co/RFSrTYQ2Jj""","['rain', 'pours', 'pours', 'harder', 'warming', 'world']",rain pours pours harder warming world,0.1531,positive,2,-0.1,0.0
54,"""“We have learned from Covid that diseases have no borders. There are different circumstances that are not in favour of humans in the human v superbug battle, whether it’s the spread of migration or the climate that changes in a beneficial way for bacteria.
https://t.co/ou3DfkQRT7""","['learned', 'covid', 'disease', 'border', 'different', 'circumstance', 'favour', 'human', 'human', 'superbug', 'battle', 'whether', 'spread', 'migration', 'climate', 'change', 'beneficial', 'way', 'bacteria']",learned covid disease border different circumstance favour human human superbug battle whether spread migration climate change beneficial way bacteria,0.4939,positive,1,0.0,0.26666666666666666
55,"""@EngineerNaked @CecileJans58794 @Climate_Earth20 @marcelcrok If you cannot distinguish between natural gradual changes that take many millennia and abrupt antropogenic changes,  you should just believe scientists instead of trying to add your 2 cents.""","['cannot', 'distinguish', 'natural', 'gradual', 'change', 'take', 'many', 'millennium', 'abrupt', 'antropogenic', 'change', 'believe', 'scientist', 'instead', 'trying', 'add', 'cent']",cannot distinguish natural gradual change take many millennium abrupt antropogenic change believe scientist instead trying add cent,-0.2755,negative,0,0.15833333333333333,0.6333333333333333
